fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
8.0,0.356,0.02,3.14,0.1577,29.3,90.7,0.9955,3.18,0.52,10.05,4
10.61,0.904,0.3,5.3,0.1312,6.1,39.6,0.9986,3.4,0.55,9.58,4
7.98,0.497,0.34,1.06,0.1268,5.4,27.6,0.9946,3.25,0.66,10.16,6
9.74,0.645,0.42,1.15,0.0863,35.6,124.5,0.9971,3.12,0.65,8.58,5
4.6,0.732,0.11,5.73,0.0198,21.9,64.6,0.9937,3.67,0.76,10.69,5
12.41,0.316,0.3,0.96,0.0663,22.6,90.3,0.9977,3.23,0.6,10.09,6
10.84,0.57,0.04,6.6,0.0741,4.6,41.9,0.9994,3.34,0.7,9.46,6
7.82,0.525,0.38,0.91,0.0696,3.9,25.2,0.9958,3.22,0.63,8.4,5
4.95,0.634,0.38,4.0,0.0867,2.3,21.5,0.9933,3.29,0.52,10.6,6
8.79,0.208,0.34,1.45,0.1072,5.2,21.1,0.9939,3.3,0.62,11.95,5
5.85,0.553,0.25,5.09,0.1236,19.9,73.0,0.9934,3.47,0.62,11.84,5
9.06,0.388,0.36,1.47,0.0734,5.3,27.0,0.9955,3.32,0.65,10.17,6
9.0,0.563,0.58,2.49,0.015,17.7,66.4,0.996,3.45,0.69,10.02,6
6.7,0.57,0.24,1.03,0.0652,5.5,25.8,0.9929,3.18,0.69,11.09,6
10.21,0.37,0.31,1.32,0.0862,8.0,22.9,0.9967,3.32,0.61,9.63,6
9.67,0.289,0.13,3.13,0.1284,51.0,213.5,0.9956,3.11,0.94,11.38,7
9.96,0.471,0.13,2.03,0.0618,5.4,34.7,0.9954,3.33,0.48,11.39,6
8.32,0.418,0.27,4.85,0.11,7.7,36.2,0.9953,3.25,0.52,11.4,5
5.89,0.633,0.49,1.74,0.0961,6.3,34.8,0.9931,3.33,1.15,10.52,6
9.96,0.507,0.2,3.96,0.0913,3.4,19.5,0.9973,3.15,0.46,9.97,5
7.84,0.12,0.21,1.79,0.1267,10.1,46.6,0.9955,3.16,0.41,9.3,5
5.94,0.506,0.18,6.71,0.0631,7.7,30.7,0.9961,3.43,0.76,9.35,5
10.6,0.473,0.11,5.72,0.0715,16.2,72.2,0.9988,3.1,0.33,9.5,4
11.87,0.133,0.38,1.5,0.079,22.4,88.1,0.9965,3.23,0.68,11.44,7
8.23,0.28,0.02,4.16,0.0589,11.4,43.7,0.9949,3.39,1.04,11.54,6
11.97,0.509,0.52,3.72,0.1048,2.4,22.8,0.9987,3.33,0.42,9.82,6
8.46,0.796,0.13,1.25,0.061,13.6,51.2,0.9938,3.35,0.33,11.67,5
7.65,0.623,0.38,2.37,0.0986,2.7,15.9,0.9951,3.4,0.39,9.9,5
7.23,0.467,0.02,1.01,0.0855,13.5,62.0,0.994,3.53,0.79,10.15,5
11.08,0.648,0.37,3.62,0.0981,15.9,67.0,0.9984,3.1,0.83,9.43,5
6.97,0.412,0.41,1.19,0.0661,4.6,33.0,0.9953,3.2,0.59,8.4,6
9.55,0.372,0.36,1.01,0.0709,22.5,71.6,0.9946,3.27,0.8,11.51,6
7.35,0.294,0.11,1.67,0.0883,31.0,84.5,0.9934,3.19,0.92,11.36,6
7.52,0.272,0.29,2.19,0.0976,22.1,77.9,0.9949,3.64,0.94,9.89,5
10.05,0.344,0.12,3.8,0.0793,6.4,21.1,0.9963,3.4,0.68,11.14,7
7.65,0.517,0.24,6.39,0.1527,12.6,58.9,0.9957,3.6,0.33,11.14,6
7.61,0.474,0.48,1.77,0.0449,31.6,76.7,0.9955,3.35,0.54,9.06,6
10.23,0.419,0.43,0.99,0.0819,6.6,24.7,0.9962,3.28,0.61,10.1,6
11.02,0.409,0.25,2.97,0.0266,22.6,63.7,0.9968,3.12,0.6,10.97,5
9.4,0.673,0.07,2.15,0.1044,2.1,38.6,0.997,3.36,0.61,8.92,5
7.19,0.346,0.37,1.79,0.0449,2.0,8.0,0.9941,3.22,0.83,10.47,5
7.43,0.622,0.29,1.46,0.0734,19.1,79.4,0.9951,3.05,0.9,9.27,6
8.44,0.48,0.0,1.95,0.0796,19.2,72.6,0.9952,3.21,0.57,10.19,4
8.85,0.442,0.39,1.52,0.1007,20.7,82.4,0.9954,3.11,0.83,10.14,5
6.62,0.321,0.25,3.02,0.0674,33.9,129.5,0.9957,3.57,0.7,8.56,5
9.53,0.485,0.47,2.08,0.0657,3.5,16.6,0.9951,3.47,0.65,11.34,5
8.45,0.656,0.09,4.04,0.1419,5.2,38.9,0.9963,3.13,0.83,9.89,6
5.38,0.578,0.0,2.08,0.0959,30.1,113.1,0.9934,3.61,0.69,9.81,6
6.72,0.656,0.34,1.31,0.0621,4.3,24.7,0.9933,3.5,1.03,10.83,6
7.44,0.659,0.3,3.76,0.0795,15.8,69.6,0.9944,3.16,0.4,11.32,5
8.18,0.302,0.0,2.12,0.1503,11.1,36.8,0.9956,3.27,0.59,9.61,6
11.51,0.434,0.11,1.25,0.0751,3.0,14.3,0.9967,3.08,0.66,10.69,6
8.7,0.437,0.75,2.37,0.0619,6.0,39.3,0.9953,3.38,0.71,10.6,5
6.87,0.796,0.19,1.56,0.0621,10.8,56.2,0.9934,3.23,0.86,10.87,5
8.68,0.367,0.38,3.69,0.0675,25.0,97.1,0.996,3.28,0.64,10.35,5
7.7,0.642,0.17,1.81,0.0607,16.8,70.3,0.9946,3.26,0.44,10.26,6
8.85,0.642,0.0,2.84,0.0333,13.7,53.7,0.9962,3.34,0.82,9.8,6
9.29,0.881,0.22,1.05,0.0445,10.2,46.1,0.9954,3.23,0.77,10.26,5
10.36,0.5,0.2,1.66,0.0563,6.3,29.2,0.9973,3.14,0.33,9.1,5
8.26,0.611,0.22,7.03,0.1082,3.5,28.8,0.9986,3.29,0.68,8.4,6
11.09,0.878,0.27,3.38,0.0693,8.3,23.2,0.997,3.42,0.41,11.06,6
9.84,0.385,0.34,1.16,0.0762,2.3,8.8,0.9948,3.18,0.57,11.53,6
7.1,0.229,0.26,1.39,0.1353,4.8,37.8,0.9955,3.25,0.53,8.4,6
12.06,0.25,0.02,1.5,0.1413,8.8,26.6,0.9984,3.19,0.78,9.17,5
8.86,0.691,0.34,2.48,0.0782,8.5,21.2,0.9953,3.26,0.66,10.79,5
6.88,0.17,0.0,3.02,0.0593,2.5,15.4,0.9926,3.21,0.46,12.68,6
11.11,0.587,0.0,2.98,0.0599,12.7,35.3,0.9979,3.44,0.75,9.75,4
11.83,0.564,0.42,1.97,0.1122,11.6,53.8,0.9979,3.09,0.44,9.9,6
8.24,0.441,0.42,3.4,0.0713,3.0,27.1,0.9951,3.27,0.78,10.89,7
7.44,0.562,0.28,1.76,0.069,36.4,138.3,0.993,3.37,0.54,12.0,6
8.01,0.608,0.0,1.1,0.057,3.3,28.3,0.9951,3.53,0.58,9.53,5
9.52,0.707,0.16,2.15,0.0537,25.2,95.8,0.9964,3.05,0.77,9.83,6
10.47,0.408,0.2,5.46,0.1023,2.0,10.7,0.9985,3.23,0.73,9.69,5
9.27,0.375,0.0,3.26,0.0319,27.7,105.4,0.9968,3.51,0.91,9.67,6
8.47,0.279,0.2,2.2,0.1193,2.2,9.0,0.9946,3.32,0.71,11.2,7
10.85,0.711,0.37,2.46,0.0681,19.0,71.0,0.9958,3.03,0.69,11.8,5
7.77,0.563,0.59,4.9,0.0735,7.4,43.7,0.995,3.26,0.65,11.4,7
10.05,0.487,0.25,1.74,0.026,18.1,63.9,0.9958,3.25,0.75,10.82,7
7.81,0.771,0.39,1.5,0.089,8.2,44.1,0.9949,3.49,0.71,9.88,5
9.03,0.37,0.0,6.57,0.0764,2.9,8.0,0.9988,3.23,0.62,8.61,5
8.11,0.853,0.37,3.89,0.0875,19.5,78.5,0.9951,3.42,0.33,11.06,5
8.21,0.909,0.07,1.49,0.1534,2.9,8.0,0.9953,3.14,0.66,9.65,4
7.66,0.695,0.31,1.83,0.0966,32.6,112.2,0.9948,3.17,0.7,9.99,5
10.59,0.793,0.25,1.7,0.0527,2.6,25.5,0.9937,3.14,0.56,13.82,6
7.05,0.288,0.49,1.14,0.061,9.8,39.6,0.9937,3.54,0.42,10.47,5
7.04,0.481,0.09,5.65,0.1133,17.4,61.2,0.9964,3.38,0.89,9.42,5
11.91,0.365,0.4,1.68,0.1364,8.0,31.2,0.9975,3.16,0.76,10.2,6
9.96,0.773,0.16,4.02,0.1058,4.9,10.0,0.9966,3.26,0.56,10.87,4
4.6,0.311,0.26,1.21,0.112,19.1,81.6,0.9918,3.63,0.49,10.74,6
7.34,0.699,0.22,2.09,0.1139,20.4,91.3,0.9957,3.28,0.5,8.74,5
5.22,0.803,0.1,0.94,0.1463,32.7,84.0,0.9919,3.55,0.86,11.09,5
6.68,0.608,0.29,3.07,0.015,7.7,49.1,0.9946,3.29,0.7,9.96,6
4.6,0.538,0.28,2.2,0.1112,10.5,37.2,0.9908,3.73,0.59,12.5,6
8.07,0.242,0.37,2.37,0.1188,7.4,28.8,0.9936,3.23,0.81,12.16,7
6.36,0.346,0.31,0.98,0.031,5.6,13.3,0.9934,3.3,0.54,10.18,6
8.4,0.702,0.43,1.26,0.0491,18.7,60.1,0.9936,3.37,0.94,11.91,6
5.54,0.702,0.42,1.02,0.0555,7.0,24.6,0.9928,3.46,0.87,10.24,5
8.44,0.563,0.06,1.41,0.0603,8.7,18.9,0.9944,3.34,0.56,11.03,5
7.59,0.419,0.45,2.38,0.0652,8.2,25.3,0.9941,3.37,0.57,11.11,6
10.85,0.146,0.08,2.15,0.0942,17.0,61.7,0.9973,3.05,0.33,9.78,6
10.7,0.148,0.48,2.32,0.1091,32.0,127.5,0.9964,3.38,0.51,10.88,8
9.64,0.895,0.36,2.1,0.1328,15.2,50.4,0.9953,3.35,0.41,11.2,5
7.74,0.352,0.0,1.38,0.056,9.7,35.0,0.9948,3.5,0.66,9.84,5
11.68,0.522,0.31,1.32,0.0507,20.1,79.8,0.9972,3.08,0.62,10.22,6
5.66,0.741,0.17,1.12,0.1421,14.3,61.1,0.9937,3.49,0.41,9.22,5
5.91,0.197,0.19,3.74,0.1054,2.8,22.7,0.9931,3.45,0.67,11.5,7
8.16,0.521,0.53,2.34,0.0878,3.2,19.7,0.9932,3.45,0.77,12.69,6
12.13,0.729,0.13,1.21,0.1084,2.5,23.4,0.9984,3.26,0.73,9.11,5
7.96,0.492,0.14,1.19,0.0833,9.3,35.9,0.9942,3.35,0.36,10.65,6
7.99,0.978,0.3,4.0,0.1055,23.0,88.5,0.9943,3.14,0.66,12.04,6
5.85,0.286,0.37,2.94,0.0761,6.5,30.4,0.9939,3.65,0.4,10.1,5
9.91,0.59,0.3,2.52,0.0903,7.8,19.5,0.9954,3.3,0.87,11.53,7
9.92,0.461,0.5,1.68,0.0241,30.8,89.3,0.9967,3.16,0.81,9.56,6
9.64,0.621,0.39,1.36,0.057,23.8,62.5,0.9951,3.29,0.53,11.05,6
7.23,0.645,0.0,6.73,0.0624,15.1,66.2,0.9965,3.18,0.51,9.99,5
7.1,0.285,0.23,3.29,0.0645,5.7,17.4,0.9933,3.5,0.64,12.06,7
6.1,0.609,0.15,1.44,0.0524,3.5,35.4,0.9925,3.24,0.33,11.36,5
8.44,0.334,0.3,3.72,0.0732,2.2,17.7,0.9942,3.28,0.66,12.31,4
6.46,0.513,0.0,3.03,0.0189,3.4,25.3,0.9931,3.43,0.67,11.65,7
6.3,0.621,0.71,1.43,0.1114,6.2,22.1,0.9933,3.53,0.8,10.5,5
7.58,0.679,0.35,1.73,0.0862,11.6,56.5,0.9944,3.36,0.45,10.37,5
7.47,0.59,0.36,1.21,0.015,2.8,22.3,0.9938,3.43,0.61,10.72,7
7.39,0.472,0.54,1.08,0.0461,3.8,29.0,0.9932,3.35,0.46,11.41,7
9.09,0.515,0.71,2.82,0.098,4.4,33.5,0.9959,3.27,0.51,10.33,6
8.43,0.34,0.45,1.37,0.0628,14.0,56.2,0.9945,3.31,0.48,10.79,6
7.81,0.449,0.42,3.47,0.0616,13.5,59.9,0.9944,3.31,0.81,11.49,5
8.61,0.772,0.27,9.04,0.0865,11.6,36.4,0.999,3.09,0.52,9.17,5
6.61,0.814,0.22,1.02,0.1032,5.5,28.3,0.9927,3.3,0.66,11.31,5
8.48,0.45,0.2,1.86,0.027,7.6,38.1,0.9938,3.33,0.62,11.94,6
8.56,0.498,0.14,3.33,0.1065,3.2,31.9,0.9956,3.27,0.46,10.51,6
5.74,0.336,0.17,3.23,0.0525,5.1,23.7,0.9952,3.42,0.65,8.5,6
9.99,0.689,0.05,3.04,0.0838,29.4,104.5,0.9969,3.19,0.78,10.02,6
6.8,0.683,0.24,1.54,0.0881,48.8,127.3,0.9929,3.28,0.43,11.47,5
8.45,0.82,0.0,1.81,0.0634,14.5,71.6,0.9949,3.24,0.82,10.6,6
10.28,0.421,0.28,2.26,0.0486,31.8,86.3,0.9975,3.17,0.5,9.18,5
9.87,0.426,0.28,6.37,0.0731,14.4,51.2,0.9981,3.23,0.6,10.12,6
8.36,0.609,0.28,1.5,0.1545,2.4,17.7,0.9943,3.35,0.73,11.02,5
7.68,0.52,0.24,4.75,0.025,68.0,188.7,0.9947,3.32,0.61,11.62,7
9.91,0.533,0.8,1.37,0.1572,3.3,21.7,0.9962,3.11,0.65,9.94,5
9.45,0.422,0.49,7.67,0.0791,15.8,67.2,0.9985,3.08,0.59,9.81,5
7.25,0.72,0.03,2.56,0.0909,5.5,8.0,0.995,3.67,0.66,9.78,5
6.95,0.613,0.33,1.83,0.041,8.0,34.8,0.9945,3.24,0.33,9.7,6
4.78,0.334,0.18,2.33,0.0536,14.5,33.1,0.9912,3.42,0.37,12.24,6
8.56,0.8,0.07,1.38,0.0694,8.9,47.7,0.9954,3.36,0.74,9.85,5
8.16,0.769,0.01,1.38,0.0477,5.5,23.7,0.9939,3.36,0.82,11.39,5
10.23,0.513,0.37,1.08,0.0761,6.9,13.8,0.9946,3.28,0.53,12.15,6
8.91,0.584,0.13,1.08,0.0732,7.0,28.8,0.9944,3.23,0.6,11.17,5
10.57,0.584,0.46,1.54,0.1585,40.4,111.5,0.9966,3.23,0.73,10.19,6
7.11,0.344,0.47,3.06,0.0379,21.2,95.0,0.9941,3.38,0.8,11.03,6
10.23,0.575,0.5,2.3,0.0936,9.4,46.8,0.9967,3.18,0.33,10.15,5
7.4,0.204,0.1,1.06,0.0994,4.7,30.4,0.9949,3.38,0.49,9.27,5
9.62,0.479,0.46,3.77,0.0317,22.0,98.9,0.9955,3.37,0.7,11.85,8
5.82,0.305,0.36,2.28,0.117,4.1,21.1,0.9945,3.43,0.76,9.0,5
8.7,0.826,0.16,5.76,0.0736,4.8,35.2,0.996,3.29,1.06,11.36,5
4.93,0.434,0.15,2.56,0.015,7.5,37.0,0.993,3.61,0.64,10.16,6
7.85,0.374,0.62,1.19,0.1059,27.5,91.7,0.9936,3.45,0.48,11.28,7
9.05,0.223,0.41,1.86,0.0298,3.7,31.0,0.9943,3.46,0.83,11.81,8
7.41,0.441,0.4,2.47,0.0426,3.6,12.8,0.9946,3.14,0.9,10.37,6
6.51,0.811,0.1,0.94,0.117,10.2,52.6,0.993,3.51,0.66,10.76,5
9.74,0.147,0.03,0.92,0.0756,5.9,18.8,0.9961,3.31,0.49,9.7,5
8.12,0.707,0.19,1.11,0.1212,12.1,42.8,0.9936,3.21,0.84,11.5,6
7.47,0.547,0.27,1.33,0.1329,9.2,57.8,0.995,3.38,0.79,9.28,6
8.37,0.365,0.06,1.74,0.0637,8.9,40.1,0.995,3.43,0.47,10.3,5
12.78,0.227,0.33,1.9,0.1112,3.4,19.6,0.996,2.99,0.78,13.01,7
10.26,0.855,0.0,1.12,0.0593,3.8,25.3,0.997,3.27,0.81,9.17,5
10.28,0.329,0.09,2.58,0.1738,22.6,77.2,0.997,3.32,0.88,9.95,6
9.04,0.454,0.33,2.26,0.0668,28.0,91.8,0.9957,3.14,0.59,10.24,4
8.58,0.683,0.4,1.42,0.1255,5.2,27.4,0.9946,3.28,0.62,10.8,6
4.6,0.628,0.18,0.92,0.1233,3.4,16.5,0.9919,3.53,0.85,10.53,5
7.15,0.411,0.07,1.02,0.1021,2.7,13.2,0.9936,3.27,0.43,10.66,5
7.48,0.607,0.07,1.65,0.0627,13.2,35.6,0.9939,3.25,0.71,10.81,5
5.11,0.316,0.22,1.15,0.0784,17.1,49.6,0.9914,3.45,0.45,11.73,6
6.33,0.677,0.41,1.61,0.015,7.6,25.0,0.9929,3.5,0.86,11.03,6
4.93,0.67,0.46,2.38,0.0935,15.7,66.5,0.9928,3.56,0.64,10.38,6
8.23,0.5,0.24,2.09,0.0935,17.0,58.3,0.9939,3.21,0.94,11.75,7
9.69,0.631,0.04,1.29,0.0948,34.9,128.4,0.9943,3.32,0.72,12.07,5
10.18,0.869,0.3,1.53,0.015,2.8,10.6,0.9964,3.12,0.43,10.04,5
9.01,0.41,0.18,2.33,0.0289,4.6,26.4,0.9959,3.08,0.96,10.1,7
6.66,0.369,0.16,3.86,0.0596,2.9,25.7,0.9939,3.35,0.9,11.28,5
5.02,0.486,0.57,3.0,0.0912,26.3,81.4,0.9926,3.61,0.87,10.95,7
5.31,1.005,0.36,2.11,0.1061,20.9,66.6,0.9945,3.54,0.47,8.4,4
6.14,0.237,0.36,1.57,0.0727,12.3,56.6,0.9921,3.42,0.67,11.92,7
6.79,0.509,0.02,1.58,0.1149,3.0,22.4,0.9944,3.34,0.66,9.64,5
8.03,0.481,0.37,4.07,0.0385,5.8,25.2,0.9952,3.28,0.6,10.98,7
6.58,0.481,0.48,0.96,0.1089,6.2,23.3,0.9929,3.41,0.97,10.96,6
8.88,0.163,0.3,7.53,0.0935,11.9,24.2,0.9966,3.15,0.78,11.72,8
7.91,0.761,0.49,2.54,0.1046,5.6,28.5,0.9945,3.29,0.33,10.88,5
8.32,0.884,0.52,2.61,0.0772,2.9,8.7,0.9954,3.28,0.74,10.19,6
10.24,0.443,0.63,0.96,0.1527,17.7,73.2,0.995,3.05,0.66,11.59,7
6.29,0.336,0.34,2.3,0.1042,6.3,35.3,0.9937,3.31,0.67,10.37,6
9.01,0.227,0.4,1.89,0.0458,9.2,43.1,0.9947,3.32,0.62,11.36,6
8.28,0.534,0.54,1.07,0.0944,3.6,32.5,0.9939,3.31,0.82,11.24,6
7.73,0.758,0.33,1.39,0.1196,21.5,56.1,0.9953,3.3,0.83,9.24,5
9.8,0.571,0.2,4.22,0.061,12.0,53.0,0.9959,3.13,0.73,11.71,6
9.79,0.49,0.21,2.1,0.1281,29.8,99.9,0.9963,3.42,0.62,10.09,6
6.69,0.31,0.37,1.7,0.0948,10.2,54.0,0.9926,3.29,0.71,11.88,7
7.99,0.384,0.02,1.01,0.015,36.0,122.4,0.9943,3.36,0.64,10.54,5
8.78,0.712,0.22,2.78,0.1015,28.7,113.3,0.9943,3.23,0.5,12.01,5
7.84,0.565,0.53,2.72,0.0633,12.3,35.1,0.9946,3.34,0.82,10.85,7
9.29,0.147,0.0,2.33,0.101,34.6,131.8,0.9956,3.32,0.8,10.73,7
8.78,0.84,0.53,1.97,0.1273,6.7,31.3,0.9955,3.12,0.9,10.16,5
11.42,0.588,0.49,1.75,0.0923,7.5,20.5,0.9971,3.15,0.89,10.32,6
5.7,0.808,0.17,2.25,0.1561,2.6,8.0,0.9928,3.58,0.52,10.97,5
8.09,0.342,0.35,1.3,0.0824,12.7,41.6,0.996,3.53,0.78,8.56,5
6.76,0.258,0.29,5.15,0.1095,17.4,64.6,0.9958,3.37,0.52,9.57,6
9.33,0.545,0.47,2.23,0.1217,19.8,68.6,0.9968,3.26,0.76,9.11,5
5.55,0.575,0.47,1.46,0.0806,3.9,25.7,0.9919,3.71,0.59,11.58,6
8.89,0.875,0.0,1.8,0.1207,9.0,36.0,0.9941,3.42,0.47,11.89,5
7.23,0.53,0.44,3.36,0.0557,4.3,16.9,0.9943,3.29,0.77,10.97,7
7.05,0.289,0.33,1.16,0.0576,15.0,53.2,0.993,3.3,0.33,11.36,8
5.84,0.316,0.3,1.42,0.032,4.1,14.1,0.9928,3.55,0.38,10.7,6
7.51,0.699,0.16,2.61,0.0942,30.1,81.8,0.9936,3.23,0.65,11.79,6
10.14,0.406,0.56,1.47,0.1025,5.1,21.5,0.997,3.35,0.65,9.25,5
8.26,0.767,0.48,3.26,0.1317,6.1,36.5,0.9951,3.35,0.62,10.86,6
9.37,0.442,0.16,1.11,0.1161,24.8,98.5,0.9944,3.32,0.41,11.6,6
11.13,0.84,0.01,3.06,0.0781,9.4,40.3,0.9972,3.14,0.5,10.68,5
8.75,0.525,0.26,1.01,0.0324,2.3,8.6,0.9942,3.21,0.79,11.26,7
7.35,0.467,0.37,0.92,0.1018,10.2,35.4,0.9929,3.53,0.78,11.63,6
9.09,0.322,0.37,4.33,0.1239,3.1,8.0,0.9981,3.24,0.72,8.4,7
7.37,0.432,0.52,2.21,0.1147,52.7,164.4,0.9937,3.31,0.88,11.3,6
7.44,0.563,0.43,1.55,0.1279,12.6,56.3,0.9946,3.34,0.75,9.97,6
5.72,0.583,0.42,1.3,0.081,5.6,16.8,0.9945,3.46,0.51,8.4,5
9.87,0.309,0.39,2.34,0.0608,12.0,37.3,0.9953,3.11,0.67,11.59,7
7.64,0.382,0.08,1.97,0.05,3.0,15.8,0.9929,3.28,0.48,12.45,7
8.61,0.583,0.21,8.07,0.0873,21.3,78.8,0.9979,3.22,0.62,10.04,5
6.54,0.288,0.4,7.03,0.0914,33.1,68.9,0.9955,3.5,0.79,10.68,4
9.04,0.648,0.24,2.41,0.0978,26.9,115.8,0.9946,3.17,0.76,11.79,5
7.0,0.323,0.38,1.78,0.0793,7.0,44.2,0.9928,3.16,0.92,11.94,6
8.06,0.134,0.31,1.91,0.0692,6.7,25.2,0.9926,3.09,0.71,13.16,8
9.79,0.283,0.06,2.62,0.0584,2.4,17.4,0.9959,3.06,0.87,10.92,5
9.64,0.185,0.27,1.06,0.1222,14.6,72.4,0.9953,3.41,0.65,10.7,6
8.26,0.34,0.31,1.5,0.0926,11.2,47.5,0.9962,3.31,0.89,8.57,5
5.29,0.289,0.21,1.02,0.0725,9.4,37.4,0.9921,3.52,0.72,10.83,7
13.39,0.822,0.25,1.01,0.0546,30.6,82.5,0.9987,3.12,0.8,9.78,6
11.27,0.401,0.12,1.23,0.0312,4.2,18.8,0.9948,3.17,0.93,12.8,6
9.53,0.52,0.49,1.9,0.1368,2.1,28.4,0.9958,3.24,0.65,10.45,6
7.02,0.638,0.2,3.2,0.1117,2.9,16.8,0.9947,3.5,0.68,10.3,5
8.11,0.592,0.51,1.9,0.0245,5.0,8.0,0.9946,3.34,0.86,10.73,5
7.38,0.557,0.53,1.51,0.12,2.4,14.7,0.9943,3.52,0.62,10.22,5
10.45,0.207,0.32,1.03,0.1164,10.4,41.8,0.9942,3.28,0.5,12.77,7
8.75,0.737,0.11,2.1,0.0895,6.5,30.3,0.9957,3.21,1.04,10.0,6
6.97,0.637,0.0,1.37,0.1384,4.4,18.8,0.9928,3.32,0.68,11.72,8
7.5,0.12,0.11,2.33,0.0832,18.6,89.7,0.9943,3.26,0.79,10.78,8
10.21,0.316,0.04,6.57,0.0278,4.7,28.6,0.999,3.36,0.88,9.3,6
11.02,0.442,0.54,1.08,0.0991,16.0,60.3,0.9968,3.13,0.58,10.01,6
10.9,0.246,0.35,1.26,0.0893,7.2,32.5,0.996,3.08,0.55,11.04,7
9.59,0.576,0.36,1.86,0.0604,10.6,41.1,0.996,3.28,0.72,10.2,6
7.87,0.446,0.0,6.09,0.1124,34.6,126.7,0.9971,3.32,0.34,9.48,5
4.6,0.938,0.03,3.12,0.0228,2.5,20.4,0.9942,3.53,0.59,8.77,5
8.81,0.772,0.41,4.33,0.1291,10.3,39.2,0.9965,3.51,0.68,10.09,5
8.3,0.446,0.38,1.51,0.0444,25.1,106.1,0.9955,3.42,0.67,9.57,7
8.54,0.665,0.26,8.15,0.0451,12.6,34.8,0.9968,3.3,0.42,11.39,6
8.39,0.758,0.35,1.06,0.0849,5.9,29.5,0.9948,3.14,0.91,10.26,5
6.05,0.394,0.58,0.98,0.1018,8.1,34.6,0.994,3.36,0.7,9.17,6
9.25,0.351,0.25,3.8,0.0911,15.7,71.5,0.9964,3.35,0.92,10.32,6
9.37,0.583,0.26,4.83,0.0598,28.6,113.8,0.9977,3.12,0.6,9.42,5
9.46,0.716,0.28,1.04,0.0693,2.5,25.3,0.9953,3.51,0.49,10.49,5
9.91,0.514,0.72,1.08,0.0392,2.9,27.3,0.9945,3.23,0.73,11.97,6
9.33,0.222,0.0,0.95,0.0755,6.7,17.4,0.9966,3.26,0.64,8.75,6
7.6,0.354,0.41,1.07,0.1275,5.2,29.3,0.9939,3.26,0.48,10.74,6
8.18,0.477,0.27,1.25,0.0843,5.7,35.0,0.9946,3.38,0.93,10.46,6
8.45,0.477,0.39,6.16,0.1189,5.0,26.5,0.996,3.16,0.57,11.3,6
8.48,0.825,0.17,2.55,0.1427,4.6,29.2,0.995,3.56,0.37,10.84,6
10.0,0.254,0.28,3.16,0.061,3.7,26.2,0.9971,3.38,0.91,9.87,6
9.39,0.496,0.46,3.15,0.072,34.6,139.2,0.9959,3.37,0.63,10.76,7
11.83,0.823,0.81,2.05,0.1763,3.9,22.7,0.9983,2.97,0.54,9.38,5
12.05,0.956,0.4,3.3,0.1473,4.7,29.4,0.9975,3.15,0.34,11.25,5
8.44,0.581,0.06,2.26,0.0276,5.4,26.4,0.9957,3.45,0.9,9.75,4
4.6,0.574,0.21,1.47,0.1,34.4,100.8,0.9905,3.57,0.46,12.53,6
10.4,0.587,0.21,2.14,0.0845,18.9,72.8,0.9964,3.08,0.69,10.56,6
7.38,0.523,0.0,2.04,0.1176,20.7,61.3,0.9948,3.28,0.84,9.92,6
6.94,0.553,0.19,3.5,0.0597,3.3,33.9,0.996,3.32,0.71,8.66,5
7.62,0.644,0.38,6.9,0.0559,23.7,83.7,0.9981,3.27,0.63,8.4,5
7.54,0.22,0.0,1.69,0.0675,8.3,38.4,0.9959,3.53,0.33,8.4,4
9.34,0.686,0.44,3.06,0.0666,5.7,31.7,0.9961,3.03,0.5,10.44,5
5.65,0.511,0.38,1.06,0.1171,12.3,56.1,0.9922,3.52,0.71,11.13,6
6.47,0.532,0.12,3.15,0.0423,22.7,99.6,0.9956,3.25,0.51,8.59,5
8.88,0.918,0.22,1.6,0.0646,20.1,81.8,0.9947,3.17,0.67,11.07,5
9.36,0.295,0.62,0.96,0.015,28.5,96.2,0.9952,3.02,0.84,10.59,7
9.39,0.501,0.38,1.58,0.1298,33.6,110.8,0.9956,3.19,0.8,10.32,5
6.96,0.829,0.29,2.31,0.1353,5.3,27.9,0.9927,3.56,0.47,12.24,6
6.64,0.349,0.25,1.09,0.0714,8.6,41.3,0.9926,3.42,1.05,11.52,6
7.44,0.476,0.26,4.77,0.0776,2.2,19.9,0.9959,3.21,0.77,9.91,5
8.71,0.465,0.2,1.02,0.1026,27.4,97.3,0.9954,3.41,0.68,9.73,6
10.83,0.553,0.0,4.89,0.1385,4.0,21.3,0.9991,3.33,0.91,8.92,7
4.82,0.445,0.7,2.74,0.0958,25.7,107.8,0.9929,3.5,1.12,10.36,7
7.92,0.35,0.28,1.5,0.0616,6.8,36.0,0.9949,3.57,0.4,9.96,5
6.03,0.32,0.4,1.64,0.015,7.5,31.0,0.9935,3.52,0.68,10.09,7
5.49,0.387,0.28,2.93,0.0399,2.5,16.7,0.9933,3.53,0.33,10.49,6
9.94,0.557,0.12,2.28,0.0924,6.7,26.4,0.9964,3.13,0.67,10.25,5
9.23,0.642,0.22,2.57,0.0633,28.3,103.0,0.9962,3.34,0.7,9.95,5
