House_ID,Square_Feet,Bedrooms,Bathrooms,Floors,Year_Built,House_Age,Neighborhood,Overall_Condition,Garage_Capacity,Has_Pool,Distance_to_City_Center_km,Price
HSE-10295,2332,4,3.0,1,2008,16,Rural,Fair,0.0,1,2.5,532500.0
HSE-10296,1649,5,3.2,1,2001,23,Waterfront,Good,2.0,0,7.0,670200.0
HSE-10297,2684,3,1.8,2,1977,47,Rural,Good,2.0,0,21.2,521500.0
HSE-10298,2299,3,2.2,1,1991,33,Waterfront,Good,1.0,0,16.1,629800.0
HSE-10299,2628,4,3.5,1,1979,45,Suburbs,Good,2.0,0,9.3,607500.0
HSE-10300,2509,3,1.8,1,1986,38,Suburbs,Fair,0.0,1,10.5,501400.0
HSE-10301,1561,3,2.2,2,1994,30,Suburbs,Fair,3.0,0,3.4,393600.0
HSE-10302,1735,3,1.8,1,2007,17,Suburbs,Good,2.0,0,20.4,399200.0
HSE-10303,2585,3,2.8,1,2004,20,Suburbs,Fair,1.0,0,17.5,551900.0
HSE-10304,2496,2,1.5,3,2001,23,Downtown,Good,2.0,0,12.7,628300.0
HSE-10305,2086,2,1.5,2,1998,26,Uptown,Good,2.0,0,8.3,540300.0
HSE-10306,2176,4,3.0,2,2008,16,Waterfront,Fair,1.0,0,35.4,598000.0
HSE-10307,2930,2,1.5,1,1998,26,Uptown,Good,2.0,1,23.1,657500.0
HSE-10308,1715,3,1.8,1,2022,2,Rural,Fair,1.0,0,12.3,348700.0
HSE-10309,2455,2,1.0,2,2012,12,Suburbs,Fair,1.0,0,6.6,488400.0
HSE-10310,1968,1,1.2,1,2017,7,Suburbs,Good,0.0,0,11.6,407500.0
HSE-10311,1958,1,1.2,2,1999,25,Uptown,Excellent,1.0,0,10.6,524400.0
HSE-10312,2814,2,2.0,2,2006,18,Suburbs,Excellent,1.0,0,7.0,693700.0
HSE-10313,2636,4,3.0,1,1983,41,Suburbs,Excellent,3.0,0,5.7,648300.0
HSE-10314,2628,3,2.8,2,1972,52,Suburbs,Good,0.0,0,7.2,555800.0
HSE-10315,2948,5,3.2,3,2003,21,Suburbs,Good,1.0,0,10.5,687300.0
HSE-10316,2113,3,2.2,1,1997,27,Downtown,Good,2.0,0,7.6,582200.0
HSE-10317,2543,3,2.2,2,2008,16,Downtown,Good,2.0,0,5.1,683100.0
HSE-10318,1898,3,2.2,1,1992,32,Downtown,Excellent,3.0,1,16.3,595600.0
HSE-10319,2310,3,2.2,1,2001,23,Uptown,Fair,2.0,0,9.6,554900.0
HSE-10320,2015,4,2.5,1,2012,12,Downtown,Fair,3.0,0,2.7,595600.0
HSE-10321,2163,3,2.2,2,1989,35,Suburbs,Good,2.0,0,6.6,528600.0
HSE-10322,2486,3,2.8,3,2000,24,Suburbs,Excellent,3.0,0,23.6,632400.0
HSE-10323,1568,4,3.0,2,1981,43,Suburbs,Excellent,2.0,0,16.1,462500.0
HSE-10324,3460,5,3.2,1,1988,36,Uptown,Good,0.0,0,5.9,794600.0
HSE-10325,1446,4,2.5,2,1985,39,Uptown,Excellent,1.0,0,29.8,450300.0
HSE-10326,1310,3,2.2,1,1966,58,Uptown,Good,2.0,0,2.8,439900.0
HSE-10327,2852,4,3.0,2,1995,29,Suburbs,Excellent,1.0,0,34.5,614600.0
HSE-10328,2614,3,2.2,1,2008,16,Downtown,Excellent,1.0,0,4.8,706000.0
HSE-10329,2505,3,2.2,1,1997,27,Downtown,Excellent,,0,2.1,691800.0
HSE-10330,2508,2,1.5,1,1994,30,Downtown,Good,3.0,0,7.7,657900.0
HSE-10331,2092,3,2.2,2,1976,48,Downtown,Fair,0.0,0,6.4,511500.0
HSE-10332,1516,2,2.0,1,2008,16,Downtown,Good,2.0,0,9.7,448700.0
HSE-10333,2149,3,2.2,2,1976,48,Downtown,Good,2.0,0,17.9,558600.0
HSE-10334,1659,4,3.0,1,2015,9,Uptown,Excellent,3.0,0,20.5,587800.0
HSE-10335,2733,2,2.0,1,2021,3,Suburbs,Fair,3.0,0,7.1,647600.0
HSE-10336,2004,2,1.0,2,2013,11,Uptown,Good,2.0,0,7.6,521400.0
HSE-10337,1563,2,1.0,3,2016,8,Suburbs,Good,2.0,0,3.6,406300.0
HSE-10338,1891,5,4.2,3,1988,36,Suburbs,Fair,1.0,1,2.5,575200.0
HSE-10339,2368,3,2.2,1,1988,36,Rural,Good,2.0,0,12.3,535100.0
HSE-10340,1733,3,2.2,1,2022,2,Rural,,2.0,1,2.7,493400.0
HSE-10341,1565,4,2.5,1,1975,49,Suburbs,Good,2.0,0,15.2,368500.0
HSE-10342,2258,4,3.0,2,1977,47,Downtown,Fair,2.0,0,9.7,571300.0
HSE-10343,2259,3,2.2,2,1991,33,Suburbs,Excellent,1.0,1,4.2,573800.0
HSE-10344,1770,3,1.8,2,1972,52,Downtown,Good,2.0,0,9.8,535400.0
HSE-10345,1793,4,3.0,3,1974,50,Waterfront,Excellent,1.0,1,4.0,633200.0
HSE-10346,2250,3,2.2,1,1972,52,Rural,Good,0.0,0,7.8,488400.0
HSE-10347,1158,2,1.5,2,1984,40,Uptown,Good,1.0,0,18.1,332300.0
HSE-10348,1185,4,2.5,2,1972,52,Suburbs,Fair,1.0,0,8.2,287100.0
HSE-10349,1633,3,1.8,2,1973,51,Uptown,Fair,2.0,1,3.6,492500.0
HSE-10350,1961,3,2.2,1,1971,53,Suburbs,Good,1.0,1,14.9,482900.0
HSE-10351,2302,3,1.8,1,1978,46,Rural,Fair,1.0,0,4.1,420800.0
HSE-10352,3058,1,1.2,1,1992,32,Waterfront,Good,3.0,0,15.4,757300.0
HSE-10353,2657,2,1.0,1,1966,58,Downtown,Good,1.0,0,8.5,629200.0
HSE-10354,1996,4,3.0,1,2021,3,Suburbs,Good,0.0,1,8.0,542300.0
HSE-10355,2087,1,1.0,1,2007,17,Suburbs,Fair,1.0,0,21.1,438500.0
HSE-10356,1448,3,2.2,2,1972,52,Suburbs,Good,1.0,0,14.3,338400.0
HSE-10357,2087,3,2.8,1,1977,47,Waterfront,Excellent,1.0,0,2.3,638900.0
HSE-10358,1912,2,1.0,1,1985,39,Downtown,Fair,0.0,0,5.5,458200.0
HSE-10359,2309,5,4.2,1,2011,13,Suburbs,Fair,2.0,0,22.5,526100.0
HSE-10360,1562,2,1.5,2,1992,32,Downtown,Excellent,1.0,1,2.2,536800.0
HSE-10361,2437,3,2.2,2,1999,25,Waterfront,Fair,1.0,0,9.9,659300.0
HSE-10362,3096,3,2.2,2,1987,37,Suburbs,Excellent,2.0,1,15.0,703600.0
HSE-10363,2029,2,2.0,1,2010,14,Waterfront,Fair,1.0,0,11.7,623700.0
HSE-10364,2361,1,1.0,3,1979,45,Rural,Excellent,3.0,0,16.3,484600.0
HSE-10365,2548,4,3.0,1,1966,58,Rural,Good,2.0,0,14.9,548600.0
HSE-10366,1839,5,3.2,1,2015,9,Downtown,Excellent,1.0,0,13.8,628800.0
HSE-10367,2245,2,1.0,1,1976,48,Suburbs,Good,2.0,1,19.2,529500.0
HSE-10368,2108,3,2.8,1,2021,3,Suburbs,Good,0.0,0,12.4,485000.0
HSE-10369,2163,4,3.0,1,2016,8,Suburbs,Fair,0.0,0,7.1,475600.0
HSE-10370,1597,4,3.0,2,2000,24,Suburbs,Good,2.0,0,8.4,498500.0
HSE-10371,2115,3,2.2,2,1967,57,Uptown,Good,2.0,0,14.6,536200.0
HSE-10372,2423,3,2.2,1,1969,55,Downtown,Good,2.0,1,22.9,611000.0
HSE-10373,3043,3,2.8,3,1967,57,Waterfront,Excellent,3.0,0,5.2,840900.0
HSE-10374,2723,4,3.0,1,2021,3,Suburbs,Good,1.0,0,6.2,650700.0
HSE-10375,3499,4,3.0,1,2011,13,Uptown,Excellent,2.0,0,28.7,840100.0
HSE-10376,1601,2,2.0,2,1983,41,Uptown,Good,2.0,0,10.6,416000.0
HSE-10377,2667,3,1.8,2,1966,58,Uptown,Excellent,3.0,0,4.0,691300.0
HSE-10378,2219,4,3.0,1,2008,16,Rural,Excellent,2.0,0,12.9,577700.0
HSE-10379,3523,4,3.0,1,2001,23,Uptown,Good,3.0,0,45.0,771800.0
HSE-10380,1574,5,3.8,2,2018,6,Rural,Excellent,1.0,0,19.3,453500.0
HSE-10381,1554,4,3.0,2,1981,43,Suburbs,Excellent,2.0,1,15.7,484800.0
HSE-10382,1710,3,2.8,2,1978,46,Downtown,Good,1.0,0,4.3,536800.0
HSE-10383,719,3,2.2,1,1992,32,Suburbs,Good,1.0,0,22.9,245700.0
HSE-10384,1758,3,2.2,1,1991,33,Suburbs,Fair,3.0,1,9.5,504100.0
HSE-10385,1606,2,2.0,1,2018,6,Suburbs,Excellent,0.0,0,24.0,368400.0
HSE-10386,2197,3,2.2,1,1974,50,Suburbs,Fair,3.0,1,6.0,550200.0
HSE-10387,2322,4,3.0,3,1967,57,Suburbs,Fair,1.0,1,2.6,532900.0
HSE-10388,3319,2,1.5,2,2000,24,Suburbs,Good,2.0,0,8.5,691800.0
HSE-10389,2717,4,3.5,1,2002,22,Suburbs,Good,1.0,0,5.1,680400.0
HSE-10390,1725,3,2.2,2,2020,4,Rural,Excellent,1.0,0,14.6,418300.0
HSE-10391,1516,5,3.8,2,1989,35,Suburbs,Excellent,1.0,0,33.5,470400.0
HSE-10392,2419,1,1.2,1,1986,38,Uptown,Good,2.0,0,13.7,576100.0
HSE-10393,1241,3,2.2,2,2012,12,Suburbs,Fair,1.0,0,23.8,318600.0
HSE-10394,3290,3,2.2,2,2003,21,Rural,Good,2.0,0,8.0,656800.0
HSE-10395,2866,3,2.8,2,2011,13,Rural,Good,0.0,0,16.8,572700.0
HSE-10396,1795,4,3.0,1,1994,30,Uptown,Good,0.0,0,20.5,472600.0
HSE-10397,986,4,3.0,2,1985,39,Uptown,Good,0.0,1,14.4,358000.0
HSE-10398,2980,2,2.0,2,1994,30,Suburbs,Good,1.0,0,9.1,649400.0
HSE-10399,2025,3,2.2,1,1992,32,Rural,Good,2.0,0,11.8,440100.0
HSE-10400,2904,3,2.2,1,1995,29,Waterfront,Good,2.0,1,14.1,794500.0
HSE-10401,1063,3,2.8,2,2021,3,Rural,Good,1.0,0,4.9,328400.0
HSE-10402,1710,5,4.2,1,2016,8,Uptown,Excellent,2.0,0,18.6,583800.0
HSE-10403,2103,4,3.0,2,1990,34,Suburbs,Good,,0,32.0,489600.0
HSE-10404,2130,3,1.8,2,2007,17,Rural,Good,1.0,0,8.3,454100.0
HSE-10405,1807,4,3.0,1,1986,38,Suburbs,Excellent,1.0,0,14.1,511600.0
HSE-10406,2504,3,2.2,1,1985,39,Downtown,Good,2.0,0,15.4,609600.0
HSE-10407,1406,4,3.0,2,1965,59,Suburbs,Good,1.0,0,12.9,370400.0
HSE-10408,2007,3,2.2,1,2001,23,Rural,Good,0.0,0,9.9,402400.0
HSE-10409,2178,4,3.0,2,1977,47,Suburbs,Good,1.0,1,23.3,540400.0
HSE-10410,2434,4,3.0,2,1985,39,Suburbs,Excellent,2.0,0,8.0,649500.0
HSE-10411,2562,3,1.8,2,2010,14,Downtown,Good,0.0,1,2.6,699300.0
HSE-10412,1368,4,3.0,3,1973,51,Uptown,Good,1.0,0,20.6,407600.0
HSE-10413,1102,2,1.5,2,1981,43,Uptown,Fair,1.0,0,13.2,303500.0
HSE-10414,2930,3,2.2,1,2011,13,Suburbs,Good,0.0,1,20.9,604200.0
HSE-10415,2316,3,2.2,3,1985,39,Suburbs,Excellent,1.0,0,3.5,541500.0
HSE-10416,1613,5,3.8,2,1995,29,Uptown,Excellent,3.0,0,2.3,615000.0
HSE-10417,3108,4,3.0,1,2003,21,Rural,Fair,0.0,0,29.2,560800.0
HSE-10418,2175,4,3.0,1,2023,1,Waterfront,Good,2.0,0,3.6,694400.0
HSE-10419,2866,4,3.5,2,2018,6,Downtown,,1.0,0,18.6,696600.0
HSE-10420,2143,3,2.2,1,1986,38,Rural,Good,2.0,0,19.3,458700.0
HSE-10421,3439,5,4.2,2,1976,48,Downtown,Good,2.0,0,14.3,850300.0
HSE-10422,3240,3,2.2,2,2019,5,Downtown,Good,1.0,1,3.4,789500.0
HSE-10423,1938,3,2.2,1,1970,54,Downtown,Good,2.0,0,13.0,524200.0
HSE-10424,2731,2,2.0,2,2017,7,Downtown,Excellent,2.0,0,24.0,697900.0
HSE-10425,2519,4,3.0,1,1980,44,Uptown,Good,2.0,1,7.5,665000.0
HSE-10426,2989,4,3.0,1,1990,34,Downtown,Fair,1.0,0,7.3,736600.0
HSE-10427,1472,3,2.2,2,1969,55,Suburbs,Good,3.0,0,7.8,391900.0
HSE-10428,2545,1,1.0,1,1973,51,Suburbs,Excellent,2.0,0,2.9,529700.0
HSE-10429,2787,4,2.5,2,2010,14,Suburbs,Good,3.0,0,24.3,629000.0
HSE-10430,956,1,1.0,2,2004,20,Downtown,Good,2.0,0,22.3,353300.0
HSE-10431,1330,4,2.5,2,1978,46,Suburbs,Good,2.0,0,45.0,291100.0
HSE-10432,774,5,3.2,1,2008,16,Suburbs,Excellent,2.0,0,10.8,354200.0
HSE-10433,1924,3,2.8,1,2006,18,Uptown,Good,2.0,0,15.9,550400.0
HSE-10434,2566,2,1.5,2,1994,30,Uptown,Good,3.0,0,4.3,643300.0
HSE-10435,3076,4,3.0,3,2016,8,Uptown,Excellent,1.0,0,13.0,779700.0
HSE-10436,2148,4,3.5,2,2016,8,Downtown,Excellent,2.0,0,12.5,681300.0
HSE-10437,3158,3,2.2,2,1990,34,Rural,Good,1.0,0,25.1,572900.0
HSE-10438,1202,5,3.2,1,2017,7,Rural,Good,2.0,0,19.8,346600.0
HSE-10439,992,2,1.5,1,2009,15,Waterfront,Good,1.0,0,29.9,403700.0
HSE-10440,2063,3,2.2,2,1993,31,Uptown,Fair,1.0,1,22.3,487800.0
HSE-10441,2349,4,3.0,1,1983,41,Suburbs,Excellent,3.0,1,22.3,651600.0
HSE-10442,2078,4,3.0,1,2011,13,Rural,Good,1.0,1,2.7,569100.0
HSE-10443,756,2,2.0,3,1972,52,Suburbs,Excellent,2.0,0,20.7,233500.0
HSE-10444,2042,4,3.0,1,1987,37,Suburbs,Fair,2.0,0,11.4,516900.0
HSE-10445,1252,3,2.2,1,2017,7,Downtown,Good,1.0,0,6.8,456600.0
HSE-10446,2535,3,2.2,1,2006,18,Suburbs,Fair,1.0,0,2.6,595000.0
HSE-10447,2338,2,1.0,2,1999,25,Rural,Good,2.0,0,13.3,473000.0
HSE-10448,1489,4,3.5,2,1995,29,Downtown,Good,1.0,0,6.0,504800.0
HSE-10449,1765,2,1.0,2,2017,7,Downtown,Good,2.0,0,8.3,508500.0
HSE-10450,1411,3,2.2,2,1999,25,Uptown,Fair,3.0,0,13.4,370600.0
HSE-10451,2059,3,2.8,1,1996,28,Downtown,Good,1.0,1,26.3,582800.0
HSE-10452,2720,4,3.0,2,2022,2,Suburbs,Fair,1.0,0,19.5,580500.0
HSE-10453,1459,3,2.2,1,1969,55,Uptown,Good,2.0,1,8.0,486000.0
HSE-10454,2427,4,3.0,1,1980,44,Uptown,Good,2.0,0,6.9,668900.0
HSE-10455,1755,3,2.8,2,1981,43,Downtown,Good,1.0,1,4.7,537100.0
HSE-10456,1584,3,2.2,2,1996,28,Uptown,Good,0.0,0,6.7,440300.0
HSE-10457,2030,3,2.8,1,2002,22,Suburbs,Good,2.0,1,3.2,584900.0
HSE-10458,1427,4,2.5,1,2022,2,Suburbs,Good,3.0,0,37.4,378500.0
HSE-10459,1740,4,3.0,2,1996,28,Suburbs,Good,1.0,0,10.5,490300.0
HSE-10460,1321,1,1.2,1,2016,8,Suburbs,Fair,1.0,0,3.4,314600.0
HSE-10461,3377,3,1.8,1,1984,40,Waterfront,Excellent,3.0,0,6.4,925900.0
HSE-10462,2122,2,1.5,1,2012,12,Waterfront,Good,2.0,1,9.9,664200.0
HSE-10463,1645,3,1.8,1,2020,4,Downtown,Fair,2.0,1,9.6,530300.0
HSE-10464,2239,3,2.2,2,1966,58,Downtown,Fair,2.0,0,2.4,583800.0
HSE-10465,2026,3,2.2,1,1984,40,Uptown,Excellent,3.0,0,32.1,543100.0
HSE-10466,1956,3,2.2,1,2011,13,Suburbs,Good,2.0,0,5.2,535100.0
HSE-10467,2499,3,1.8,2,1982,42,Suburbs,Good,2.0,1,2.2,573500.0
HSE-10468,2592,3,2.2,2,1965,59,Rural,Good,2.0,0,2.8,529600.0
HSE-10469,1755,4,2.5,1,2022,2,Uptown,Good,2.0,0,10.7,544400.0
HSE-10470,1725,3,2.2,1,1993,31,Rural,Excellent,1.0,0,3.5,424500.0
HSE-10471,1921,2,1.5,1,1993,31,Suburbs,Good,1.0,0,2.4,478100.0
HSE-10472,650,4,3.5,2,1983,41,Uptown,Good,2.0,0,6.8,339700.0
HSE-10473,1115,3,2.2,2,2008,16,Suburbs,Excellent,1.0,0,11.7,358500.0
HSE-10474,2988,3,2.2,2,2004,20,Suburbs,Good,2.0,0,3.2,700600.0
HSE-10475,3169,3,2.8,3,1970,54,Downtown,Good,1.0,0,5.8,715100.0
HSE-10476,1938,3,2.2,2,2008,16,Suburbs,Good,2.0,0,7.4,478500.0
HSE-10477,2474,2,2.0,2,2003,21,Suburbs,Fair,1.0,0,3.7,544600.0
HSE-10478,2302,3,2.2,2,2014,10,Suburbs,Fair,2.0,0,9.1,561700.0
HSE-10479,4101,5,3.8,1,2018,6,Suburbs,Good,2.0,0,2.9,934000.0
HSE-10480,2827,3,1.8,3,2010,14,Uptown,Good,1.0,0,2.5,654000.0
HSE-10481,2016,3,2.2,1,1972,52,Downtown,Excellent,2.0,1,9.3,626600.0
HSE-10482,1478,3,1.8,1,1988,36,Suburbs,Excellent,1.0,1,4.8,444500.0
HSE-10483,1055,2,1.5,2,1984,40,Suburbs,Fair,1.0,1,3.0,330500.0
HSE-10484,2232,3,2.2,1,2018,6,Suburbs,Good,1.0,1,7.5,567800.0
HSE-10485,1608,4,3.0,2,1978,46,Uptown,Excellent,0.0,0,26.7,479700.0
HSE-10486,1175,2,1.5,2,1969,55,Suburbs,Good,3.0,0,14.9,299700.0
HSE-10487,1679,3,1.8,1,2005,19,Uptown,Good,0.0,0,18.9,426900.0
HSE-10488,1396,3,2.2,2,2004,20,Suburbs,Good,2.0,1,22.6,360500.0
HSE-10489,3196,3,2.2,1,1998,26,Suburbs,Good,1.0,0,38.0,596500.0
HSE-10490,2673,5,4.2,1,1980,44,Rural,Good,2.0,0,16.4,597400.0
HSE-10491,2094,2,1.5,2,2009,15,Uptown,Excellent,1.0,0,11.4,566100.0
HSE-10492,3061,3,2.8,2,1971,53,Suburbs,Good,2.0,0,6.5,677000.0
HSE-10493,2150,2,1.5,2,1980,44,Waterfront,Excellent,2.0,0,4.0,689700.0
HSE-10494,1540,5,3.8,1,1971,53,Downtown,Good,2.0,1,13.6,540100.0
HSE-10495,3090,2,1.0,2,1991,33,Waterfront,Excellent,1.0,0,45.0,708000.0
HSE-10496,2450,3,2.2,1,1978,46,Uptown,Good,2.0,1,8.3,660700.0
HSE-10497,1425,4,3.0,3,1978,46,Uptown,Good,1.0,0,14.9,436700.0
HSE-10498,1976,4,3.0,1,2008,16,Rural,Good,0.0,0,8.8,441400.0
HSE-10499,1530,3,2.2,2,1997,27,Suburbs,Good,1.0,1,7.7,428400.0
HSE-10500,1201,3,2.2,1,1997,27,Uptown,Good,1.0,1,7.3,389700.0
HSE-10501,2702,3,2.2,1,2008,16,Downtown,Fair,2.0,0,9.0,642000.0
HSE-10502,3341,3,2.2,2,1984,40,Suburbs,Fair,2.0,0,6.6,643800.0
HSE-10503,1190,2,1.0,2,2017,7,Suburbs,Good,1.0,0,15.8,325500.0
HSE-10504,2465,3,2.8,2,2011,13,Suburbs,Good,1.0,0,22.7,576900.0
HSE-10505,1677,3,1.8,2,2000,24,Uptown,,0.0,0,23.4,405400.0
HSE-10506,1783,3,1.8,2,1971,53,Downtown,Fair,2.0,1,4.6,491300.0
HSE-10507,1714,3,2.2,2,1996,28,Downtown,Excellent,2.0,0,24.6,536500.0
HSE-10508,1538,5,3.8,1,2012,12,Suburbs,Good,1.0,0,6.2,470000.0
HSE-10509,2131,3,2.2,2,1967,57,Downtown,,2.0,0,5.7,608000.0
HSE-10510,1559,2,1.5,1,2003,21,Rural,Good,2.0,1,15.0,398600.0
HSE-10511,2275,2,1.5,2,1993,31,Downtown,Fair,2.0,1,5.6,577900.0
HSE-10512,2067,5,3.8,2,1988,36,Uptown,Good,2.0,0,2.5,602100.0
HSE-10513,1944,3,2.8,3,1986,38,Uptown,Good,2.0,0,6.7,531800.0
HSE-10514,1510,2,2.0,2,1970,54,Uptown,Fair,2.0,0,14.8,346200.0
HSE-10515,1725,3,2.2,2,2012,12,Downtown,Fair,1.0,0,6.0,509100.0
HSE-10516,2591,3,2.2,2,1988,36,Waterfront,Fair,1.0,0,11.9,682600.0
HSE-10517,2425,3,2.2,1,2004,20,Downtown,Good,1.0,1,12.8,653800.0
HSE-10518,1464,3,1.8,2,1987,37,Rural,Good,2.0,1,15.2,398200.0
HSE-10519,2164,1,1.0,1,2018,6,Suburbs,Good,2.0,0,24.7,454300.0
HSE-10520,2588,5,3.8,2,2002,22,Suburbs,Fair,1.0,0,7.7,623600.0
HSE-10521,1014,3,2.8,1,1974,50,Suburbs,Good,1.0,0,3.8,331800.0
HSE-10522,2453,3,1.8,1,1980,44,Uptown,Good,2.0,0,5.8,587800.0
HSE-10523,1669,4,3.0,1,1975,49,Downtown,Good,2.0,0,7.7,545800.0
HSE-10524,2470,3,2.2,1,1996,28,Suburbs,Fair,2.0,0,14.5,532600.0
HSE-10525,1603,3,2.2,2,2009,15,Suburbs,Fair,2.0,0,2.1,450200.0
HSE-10526,926,3,1.8,1,1970,54,Rural,Good,2.0,0,5.8,225300.0
HSE-10527,1042,3,2.8,2,1988,36,Waterfront,Fair,0.0,0,17.1,400500.0
HSE-10528,2131,4,3.0,1,1997,27,Downtown,Good,,0,13.1,580400.0
HSE-10529,2268,5,3.8,2,2017,7,Uptown,Good,0.0,0,15.2,600800.0
HSE-10530,1512,2,1.5,2,2015,9,Downtown,Good,2.0,0,18.7,486100.0
HSE-10531,2515,2,1.5,2,1976,48,Downtown,Good,0.0,0,17.3,563200.0
HSE-10532,1020,5,3.8,2,2020,4,Rural,Good,2.0,0,13.5,326000.0
HSE-10533,2057,4,2.5,1,1991,33,Suburbs,Good,2.0,1,7.8,541400.0
HSE-10534,1312,4,2.5,2,2002,22,Downtown,Excellent,1.0,0,43.1,434800.0
HSE-10535,1676,2,2.0,1,1982,42,Suburbs,Good,2.0,1,10.4,422900.0
HSE-10536,2130,3,2.2,2,2009,15,Downtown,Good,1.0,0,4.3,575500.0
HSE-10537,1540,4,2.5,2,2003,21,Downtown,Good,1.0,0,5.5,504700.0
HSE-10538,1850,3,2.2,1,2019,5,Downtown,Good,2.0,0,13.8,561300.0
HSE-10539,2754,3,2.2,2,1977,47,Suburbs,Excellent,0.0,0,27.9,547400.0
HSE-10540,1725,1,1.0,2,2017,7,Downtown,Fair,2.0,1,4.0,517000.0
HSE-10541,2643,3,2.2,1,2004,20,Suburbs,Excellent,2.0,1,2.9,691500.0
HSE-10542,1365,3,1.8,1,1994,30,Suburbs,Good,3.0,1,23.3,396600.0
HSE-10543,2444,3,1.8,1,2017,7,Suburbs,Good,2.0,0,26.7,486000.0
HSE-10544,3037,5,3.2,2,2013,11,Uptown,Fair,1.0,0,5.2,740100.0
HSE-10545,650,3,2.8,2,2005,19,Downtown,Good,2.0,0,6.7,362000.0
HSE-10546,1582,4,2.5,1,2016,8,Uptown,Good,0.0,0,12.8,484300.0
HSE-10547,2475,2,1.0,1,1977,47,Uptown,Fair,1.0,0,6.0,520900.0
HSE-10548,1968,3,2.2,2,1998,26,Uptown,Good,,1,23.0,504300.0
HSE-10549,2341,5,4.2,2,2000,24,Downtown,Excellent,1.0,1,3.1,764400.0
HSE-10550,1707,2,1.5,1,1994,30,Downtown,Good,2.0,0,2.4,538200.0
HSE-10551,2156,1,1.0,1,1989,35,Suburbs,Good,1.0,0,4.3,437000.0
HSE-10552,1998,3,1.8,2,1966,58,Uptown,Fair,2.0,0,5.4,499300.0
HSE-10553,2859,2,1.5,1,2000,24,Downtown,Good,1.0,0,3.2,713100.0
HSE-10554,2265,4,3.0,1,1982,42,Waterfront,Good,2.0,0,2.7,717600.0
HSE-10555,2319,4,3.0,3,1969,55,Waterfront,Good,3.0,1,16.1,738100.0
HSE-10556,1832,3,2.2,2,1983,41,Suburbs,Good,,0,3.8,441900.0
HSE-10557,1783,3,2.2,1,2006,18,Suburbs,Good,,0,26.5,454300.0
HSE-10558,1818,3,1.8,1,1982,42,Uptown,Good,1.0,0,6.6,470700.0
HSE-10559,2356,4,3.0,1,2021,3,Suburbs,Good,0.0,0,13.1,567700.0
HSE-10560,1826,1,1.0,1,1996,28,Suburbs,Excellent,2.0,1,4.6,487600.0
HSE-10561,2288,3,2.2,2,1985,39,Rural,,2.0,0,4.7,492600.0
HSE-10562,3449,3,2.8,1,1974,50,Suburbs,Good,0.0,1,10.5,686900.0
HSE-10563,2666,3,2.8,2,2001,23,Rural,Good,0.0,0,10.2,506600.0
HSE-10564,1888,2,2.0,2,2013,11,Uptown,Excellent,1.0,0,16.6,556100.0
HSE-10565,2880,4,3.0,1,1986,38,Uptown,Fair,2.0,0,16.2,620600.0
HSE-10566,1834,2,1.5,1,1977,47,Suburbs,Good,2.0,0,13.1,421000.0
HSE-10567,775,2,1.5,2,2019,5,Suburbs,Good,2.0,0,8.0,264300.0
HSE-10568,1444,4,3.0,2,1981,43,Downtown,Good,2.0,0,24.1,430900.0
HSE-10569,883,4,3.0,2,1973,51,Suburbs,Good,2.0,0,11.7,324200.0
HSE-10570,1871,1,1.0,1,1988,36,Suburbs,Fair,2.0,0,45.0,308100.0
HSE-10571,2111,2,1.5,2,2008,16,Suburbs,Good,2.0,1,19.1,505500.0
HSE-10572,3189,2,1.5,2,1978,46,Suburbs,Fair,2.0,1,2.5,692700.0
HSE-10573,2312,3,2.2,2,2010,14,Suburbs,Fair,2.0,0,5.9,531200.0
HSE-10574,1957,2,2.0,1,1972,52,Uptown,Excellent,2.0,1,10.5,590400.0
HSE-10575,2639,2,1.0,2,2019,5,Suburbs,Good,2.0,0,14.8,551600.0
HSE-10576,662,3,2.2,2,2001,23,Suburbs,Good,3.0,0,10.0,264800.0
HSE-10577,2253,4,3.5,1,1983,41,Uptown,Good,0.0,0,17.4,559000.0
HSE-10578,2601,3,2.2,2,1992,32,Rural,Good,0.0,1,5.3,563700.0
HSE-10579,1138,3,2.2,1,2010,14,Suburbs,Good,3.0,0,4.0,373600.0
HSE-10580,2843,2,1.5,1,2005,19,Suburbs,Excellent,1.0,0,2.6,648700.0
HSE-10581,2320,5,3.8,1,1994,30,Downtown,Excellent,2.0,0,10.5,730500.0
HSE-10582,1830,4,3.5,3,1971,53,Rural,Good,1.0,0,13.7,405000.0
HSE-10583,2511,4,3.0,1,2023,1,Uptown,Good,1.0,0,5.9,632600.0
HSE-10584,3575,4,3.0,2,2022,2,Uptown,Good,0.0,0,11.5,784000.0
HSE-10585,2218,5,3.2,2,1990,34,Suburbs,Good,1.0,0,2.5,615200.0
HSE-10586,2261,3,1.8,1,2004,20,Downtown,Fair,1.0,1,3.0,643200.0
HSE-10587,1801,2,2.0,2,2010,14,Suburbs,Good,,0,14.1,438400.0
HSE-10588,1547,3,2.2,2,2018,6,Uptown,Fair,2.0,1,6.6,517100.0
HSE-10589,2639,4,3.0,2,2010,14,Uptown,Fair,3.0,0,13.1,670400.0
HSE-10590,1543,4,2.5,2,1975,49,Rural,Fair,,0,19.8,335500.0
HSE-10591,2146,3,2.2,2,1978,46,Suburbs,Good,2.0,0,21.1,449800.0
